Verketten;Laenge;2_a_Leistung 2 (hyd) [kW];Normleistung;Preis;Typ;Breite;Hoehe;H_Lam;2_a_Leistung 1 (hyd) [kW];2_a_Temperatur 1 [C];2_a_Temperatur 2 [C];2_a_Temperatur 3 [C];Nenndruck bar Extra (%);Nenndruck PN (bar);Exponential;Gewicht leer (kg);3_a_Fabrikat;Modelle;3_c_Farbe 1;Farbe Extra;Ausfuehrung;3_c_Material 1;Zubehoer;Zubehoeranzahl;Zubehoereinzelpreis;Zubehoer_Total_Preis;Total_Preis;N(mm)/1m;A(m2);A(m2)/1m;V(dm3);V(dm3)/1m;M(kg);M(kg)/1m;S_k(%)/1m;q_ms_(kg/h)/1m;Waermeleistung_50K/1m;Charleston_Typ;Stueck;Einzelpreis;Watt_pro_element;Horizontal_Vertikal;Main Typ;Preis mit AB;Nennbauhoehe;Grundpreis
3060600;782;1.0353;1035.3;625.6;3060-17;100;600;0;634.384456;60;50;21;13;10;1.27;1.23;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;625.6;534;0.10948;0.14;0.7038;0.9;0.96186;1.23;18;5.2;60.9;3060;17;36.80;60.9;;3saeuler;;;
3075750;782;1.2631;1263.1;672.35;3075-17;100;750;0;500.9584358;50;40;21;13;10;1.26;1.52;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;672.35;684;0.13294;0.17;0.8602;1.1;1.18864;1.52;18;6.4;74.3;3075;17;39.55;74.3;;3saeuler;;;
3090900;782;1.479;1479;740.35;3090-17;100;900;0;301.2421324;40;30;21;13;10;1.25;1.81;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;740.35;834;0.16422;0.21;1.0166;1.3;1.41542;1.81;18;7.5;87;3090;17;43.55;87.0;;3saeuler;;;
31001000;598;1.2363;1236.3;605.8;3100-13;100;1000;0;763.4138067;60;50;21;13;10;1.25;2.01;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;605.8;934;0.13754;0.23;0.8372;1.4;1.20198;2.01;18;8.2;95.1;3100;13;46.60;95.1;;3saeuler;;;
31101100;598;1.339;1339;681.2;3110-13;100;1100;0;534.9733202;50;40;21;13;10;1.25;2.21;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;681.2;1034;0.1495;0.25;0.897;1.5;1.32158;2.21;18;8.9;103;3110;13;52.40;103.0;;3saeuler;;;
31201200;920;2.3;2300;1243;3120-20;100;1200;0;1387.760467;60;50;21;13;10;1.31;2.4;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;1243;1134;0.2576;0.28;1.472;1.6;2.208;2.4;18;9.9;115;3120;20;62.15;115.0;;3saeuler;;;
31501500;920;2.8;2800;1593;3150-20;100;1500;0;1070.493544;50;40;21;13;10;1.31;2.99;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;1593;1434;0.322;0.35;1.84;2;2.7508;2.99;18;12;140;3150;20;79.65;140.0;;3saeuler;;;
31801800;1196;4.316;4316;2554.5;3180-26;100;1800;0;804.1369852;40;30;21;13;10;1.32;3.58;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;2554.5;1734;0.50232;0.42;2.8704;2.4;4.28168;3.58;18;14.3;166;3180;26;98.25;166.0;;3saeuler;;;
4045450;1380;1.839;1839;1266;4045-30;136;450;0;365.1509451;40;30;21;13;10;1.27;1.29;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;1266;384;0.1932;0.14;1.38;1;1.7802;1.29;16;5.3;61.3;4045;30;42.20;61.3;;4saeuler;;;
4050500;1610;2.366;2366;1513.75;4050-35;136;500;0;1449.776512;60;50;21;13;10;1.27;1.42;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;1513.75;434;0.2415;0.15;1.61;1;2.2862;1.42;16;5.8;67.6;4050;35;43.25;67.6;;4saeuler;;;
4055550;1702;2.7269;2726.9;1646.5;4055-37;136;550;0;1073.607615;50;40;21;13;10;1.27;1.55;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;1646.5;484;0.28934;0.17;1.8722;1.1;2.6381;1.55;16;6.3;73.7;4055;37;44.50;73.7;;4saeuler;;;
4060600;1794;3.1122;3112.2;1786.2;4060-39;136;600;0;1907.01372;60;50;21;13;10;1.27;1.67;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;1786.2;534;0.34086;0.19;2.1528;1.2;2.99598;1.67;15;6.9;79.8;4060;39;45.80;79.8;;4saeuler;;;
4075750;1886;3.9934;3993.4;2068.45;4075-41;136;750;0;1583.823464;50;40;21;13;10;1.26;2.06;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;2068.45;684;0.43378;0.23;2.6404;1.4;3.88516;2.06;15;8.4;97.4;4075;41;50.45;97.4;;4saeuler;;;
4090900;506;1.254;1254;635.8;4090-11;136;900;0;255.4142218;40;30;21;13;10;1.25;2.45;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;635.8;834;0.14168;0.28;0.8602;1.7;1.2397;2.45;15;9.8;114;4090;11;57.80;114.0;;4saeuler;;;
41001000;1012;2.75;2750;1372.8;4100-22;136;1000;0;1698.12179;60;50;21;13;10;1.25;2.7;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;1372.8;934;0.31372;0.31;1.8216;1.8;2.7324;2.7;15;10.8;125;4100;22;62.40;125.0;;4saeuler;;;
