Verketten;Laenge;2_a_Leistung 2 (hyd) [kW];Normleistung;Preis;Typ;Breite;Hoehe;H_Lam;2_a_Leistung 1 (hyd) [kW];2_a_Temperatur 1 [C];2_a_Temperatur 2 [C];2_a_Temperatur 3 [C];Nenndruck bar Extra (%);Nenndruck PN (bar);Exponential;Gewicht leer (kg);3_a_Fabrikat;Modelle;3_c_Farbe 1;Farbe Extra;Ausfuehrung;3_c_Material 1;Zubehoer;Zubehoeranzahl;Zubehoereinzelpreis;Zubehoer_Total_Preis;Total_Preis;N(mm)/1m;A(m2);A(m2)/1m;V(dm3);V(dm3)/1m;M(kg);M(kg)/1m;S_k(%)/1m;q_ms_(kg/h)/1m;Waermeleistung_50K/1m;Charleston_Typ;Stueck;Einzelpreis;Watt_pro_element;Horizontal_Vertikal;Main Typ;Preis mit AB;Nennbauhoehe;Grundpreis
"NHLLHL42/14425";800;0.954;954.00;1165;"NHLLHL42/14";128;425;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN 10237;3400;0.954;954.00;534.65;THN 10;53;237;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
E1045450;1200;0.954;954.00;814.55;E1045-30;95;450;0;;;;;;;;;Zehnder;;;;Flachrohrradiator;;;;;;;;;;;;;;;;1200;E1045;30;21.50;31.8;;;;;
NHLLH35/07354;1100;0.955;955.00;1108;NHLLH35/07;92;354;55;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;1108;314.00;2.75;2.50;4.87;4.43;24.15;21.95;18.00;75.00;868.00;;;;;;NHLLH;;;
NHLLHL49/49496;500;0.955;955.00;1171;NHLLHL49/49;128;496;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH28/21283;1400;0.956;956.00;960;NHLH28/21;53;283;195;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;960;243.00;3.96;2.83;4.96;3.54;27.86;19.90;13.00;59.00;683.00;;;;;;NHLH;;;
NHLLH28/28283;900;0.956;956.00;974;NHLLH28/28;92;283;265;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;974;243.00;4.61;5.12;3.19;3.54;22.49;24.99;12.00;91.00;1062.00;;;;;;NHLLH;;;
NHLLH35/21354;900;0.956;956.00;1059;NHLLH35/21;92;354;195;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;1059;314.00;4.03;4.48;3.99;4.43;23.93;26.59;15.00;91.00;1062.00;;;;;;NHLLH;;;
K2050492;1495;0.9568;956.80;1422.55;K2050-23;62;492;0;1970.661584;50;40;21;13;18;1.30;0.75;Zehnder;Charleston;Kat_2;25;Gliederheizkoerper;Stahl;Wandkonsole;4;4.95;19.8;1797.9875;434;0.12;0.08;0.90;0.60;1.12;0.75;23;3.60;41.60;K2050;23;61.85;41.6;;2saeuler;;;
NHLLH28/21283;1000;0.957;957.00;997;NHLLH28/21;92;283;195;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;997;243.00;4.14;4.14;3.54;3.54;22.72;22.72;13.00;82.00;957.00;;;;;;NHLLH;;;
NH70709;1300;0.957;957.00;703;NH70;45;709;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NH91922;1000;0.957;957.00;808;NH91;45;922;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21317;1200;0.957;957.00;1203.83;THN21;102;317;320;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN91317;1200;0.957;957.00;1149.12;THN91;61;317;320;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
1W74747;1000;0.957;957.00;709.05;1W74;50;747;0;;;;;;;;;Prolux;;;;Roehrenradiatoren;;;;;;;;;;;;;;;;;;;;;;;;;
ZRV22170;2200;;957.00;717;ZRV221;104;70;0;;;;;;;;;Zehnder;;;;Konvektor;;;;;;;;;;;;;;;;;;;;;;;;;
3055550;782;0.9571;957.10;609.45;3055-17;100;550;0;376.8197765;50;40;21;13;10;1.27;1.13;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;609.45;484;0.09;0.12;0.70;0.90;0.88;1.13;18;4.80;56.30;3055;17;35.85;56.3;;3saeuler;;;
NHLLHL35/28354;700;0.958;958.00;1056;NHLLHL35/28;128;354;265;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;1056;314.00;5.17;7.39;3.10;4.43;23.56;33.66;12;118;1369;;;;;;NHLLHL;;;
"NHLH49/21496";1000;0.958;958.00;1160;"NHLH49/21";53;496;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN11397;1200;0.958;958.00;726.63;THN11;60;397;400;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
N71250-402500;245;0.958;958.00;700.01;N71250-40;99;2500;0;;;;;;;;;Prolux;;;6;Flachrohrradiator;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH49/28496;700;0.959;959.00;1160;NHLLH49/28;92;496;265;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;1160;456.00;4.30;6.14;4.34;6.20;25.66;36.66;15.00;118.00;1370.00;;;;;;NHLLH;;;
NHH84851;700;0.959;959.00;1291;NHH84;53;851;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL77/28780;900;0.959;959.00;813;NHL77/28;60;780;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
"NHLLH49/28496";700;0.959;959.00;1160;"NHLLH49/28";92;496;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN90237;2200;0.959;959.00;816.08;THN90;61;237;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN11397;1700;0.959;959.00;696.86;THN11;60;397;80;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
N72028-40280;1045;0.959;959.00;1279.2;N72028-40;166;280;0;;;;;;;;;Prolux;;;26;Flachrohrradiator;;;;;;;;;;;;;;;;;;;;;;;;;
1W36367;2000;0.96;960.00;634.65;1W36;50;367;0;;;;;;;;;Prolux;;;;Roehrenradiatoren;;;;;;;;;;;;;;;;;;10;;;;;;;
NHLH98/35993;600;0.961;961.00;1601;NHLH98/35;53;993;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN11397;1400;0.961;961.00;704.93;THN11;60;397;240;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH42/42425;1000;0.962;962.00;1074;NHLH42/42;53;425;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH77/35780;700;0.962;962.00;1403;NHLH77/35;53;780;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL49/07496;1500;0.963;963.00;751;NHL49/07;60;496;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL49/21496;1300;0.963;963.00;723;NHL49/21;60;496;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH84/14851;700;0.963;963.00;1480;NHLH84/14;53;851;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL77/21780;500;0.963;963.00;1456;NHLLHL77/21;128;780;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21397;1100;0.963;963.00;1257.31;THN21;102;397;240;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
2W67671;800;0.963;963.00;1175.62;2W67;72;671;0;;;;;;;;;Prolux;;;;Roehrenradiatoren;;;;;;;;;;;;;;;;;;;;;;;;;
E1050500;1120;0.9632;963.20;810.75;E1050-28;95;500;0;;;;;;;;;Zehnder;;;;Flachrohrradiator;;;;;;;;;;;;;;;;1100;E1050;28;22.90;34.4;;;;;
NH21212;3800;0.965;965.00;430;NH21;45;212;0;595.8863735;60;50;21;13;4.6;1.25;6.24;Zehnder;Nova;Kat_2;25;Heizwand;Stahl;Wandkonsole_CVD_2_Sonderfarbe;4;11.95;47.8;585.3;172.00;2.01;0.53;5.02;1.32;23.71;6.24;36.00;22.00;254.00;;;;;;NH;;;
NHLLH21/07212;1500;0.965;965.00;1003;NHLLH21/07;92;212;55;201.6191093;40;30;21;13;4.6;1.23;14.14;Zehnder;Nova;Standard;0;Heizwand;Stahl;Wandkonsole_CVD_0_RAL9016;4;4.25;17;1020;172.00;2.75;1.83;3.98;2.65;21.21;14.14;17.00;55.00;643.00;;;;;;NHLLH;;;
NHLLH21/14212;1300;0.965;965.00;968;NHLLH21/14;92;212;125;388.3885765;50;40;21;13;4.6;1.24;16.47;Zehnder;Nova;Kat_1;18;Heizwand;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;8.55;34.2;1176.44;172.00;3.67;2.82;3.45;2.65;21.41;16.47;14.00;64.00;742.00;;;;;;NHLLH;;;
NHLLH35/14354;1000;0.965;965.00;1086;NHLLH35/14;92;354;125;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;1086;314.00;3.49;3.49;4.43;4.43;24.27;24.27;16.00;83.00;965.00;;;;;;NHLLH;;;
NHLH49/49496;900;0.965;965.00;1142;NHLH49/49;53;496;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21237;1500;0.965;965.00;1138.71;THN21;102;237;240;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN91237;1500;0.965;965.00;1086.95;THN91;61;237;240;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21397;1000;0.965;965.00;1269.18;THN21;102;397;400;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
 N71300-403000;205;0.965;965.00;689.47; N71300-40;99;3000;0;;;;;;;;;Prolux;;;6;Flachrohrradiator;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH63/35638;800;0.966;966.00;1275;NHLH63/35;53;638;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH98/42993;600;0.966;966.00;1607;NHLH98/42;53;993;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN10157;4800;0.966;966.00;494;THN10;53;157;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL49/42496;1100;0.967;967.00;698;NHL49/42;60;496;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH70/21709;600;0.967;967.00;1340;NHLLH70/21;92;709;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH77/42780;500;0.967;967.00;1373;NHLLH77/42;92;780;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL56/42567;500;0.967;967.00;1242;NHLLHL56/42;128;567;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL63/07638;700;0.967;967.00;1388;NHLLHL63/07;128;638;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
N71021-40210;2085;0.967;967.00;1341.18;N71021-40;99;210;0;;;;;;;;;Prolux;;;52;Flachrohrradiator;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL28/14283;1000;0.968;968.00;1037;NHLLHL28/14;128;283;125;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;1037;243.00;4.08;4.08;3.54;3.54;22.76;22.76;15;83;968;;;;;;NHLLHL;;;
NHL70/42709;900;0.968;968.00;782;NHL70/42;60;709;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL84/42851;800;0.968;968.00;834;NHL84/42;60;851;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH42/14425;900;0.968;968.00;1143;NHLLH42/14;92;425;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH70/56709;500;0.968;968.00;1316;NHLLH70/56;92;709;541;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL42/35425;600;0.968;968.00;1115;NHLLHL42/35;128;425;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL84/42851;400;0.968;968.00;1502;NHLLHL84/42;128;851;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN22317;900;0.968;968.00;1107.53;THN22;102;317;320;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NH28283;3000;0.969;969.00;482;NH28;45;283;0;600.6684604;60;50;21;13;4.6;1.24;8.20;Zehnder;Nova;Kat_2;25;Heizwand;Stahl;Wandkonsole_CVD_2_Verzinkt;4;4.75;19;621.5;243.00;2.10;0.70;5.31;1.77;24.60;8.20;36.00;28.00;323.00;;;;;;NH;;;
NHL42/07425;1700;0.969;969.00;732;NHL42/07;60;425;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL63/21638;1100;0.969;969.00;775;NHL63/21;60;638;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL63/35638;1000;0.969;969.00;761;NHL63/35;60;638;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
WL77/28770;900;0.969;969.00;946.27;WL77/28;61;770;260;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL35/21354;1600;0.97;970.00;670;NHL35/21;60;354;195;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;670;314;4.43;2.77;3.54;2.21;23.52;14.70;22;52;606;;;;;;NHL;;;
NHLH21/14212;1800;0.97;970.00;930;NHLH21/14;53;212;125;596.6682989;60;50;21;13;4.6;1.26;14.80;Zehnder;Nova;Kat_2;25;Heizwand;Stahl;Wandkonsole_CVD_0_verzinkt;4;3.4;13.6;1176.1;172.00;3.58;1.99;4.75;2.64;26.64;14.80;14.00;46.00;539.00;;;;;;NHLH;;;
NHLH35/07354;1400;0.97;970.00;1073;NHLH35/07;53;354;55;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;1073;314.00;3.26;2.33;6.19;4.42;30.52;21.80;18.00;60.00;693.00;;;;;;NHLH;;;
NH84851;1100;0.97;970.00;785;NH84;45;851;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL77/14780;1000;0.97;970.00;835;NHL77/14;60;780;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL77/56780;800;0.97;970.00;804;NHL77/56;60;780;541;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH63/07638;900;0.97;970.00;1307;NHLH63/07;53;638;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
ZRV222140;1400;;970.00;672;ZRV222;104;140;0;;;;;;;;;Zehnder;;;;Konvektor;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL35/14354;900;0.971;971.00;1107;NHLLHL35/14;128;354;125;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;1107;314.00;3.98;4.42;3.99;4.43;23.98;26.64;16;93;1079;;;;;;NHLLHL;;;
NH77780;1200;0.971;971.00;756;NH77;45;780;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH77/42780;700;0.971;971.00;1411;NHLH77/42;53;780;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH98/49993;600;0.971;971.00;1614;NHLH98/49;53;993;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL63/35638;500;0.971;971.00;1313;NHLLHL63/35;128;638;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL70/28709;500;0.971;971.00;1385;NHLLHL70/28;128;709;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
ZRV43170;1200;;971.00;728;ZRV431;195;70;0;;;;;;;;;Zehnder;;;;Konvektor;;;;;;;;;;;;;;;;;;;;;;;;;
NHL21/14212;2400;0.972;972.00;645;NHL21/14;45;212;125;391.2059029;50;40;21;13;4.6;1.24;8.58;Zehnder;Nova;Kat_2;25;Heizwand;Stahl;Wandkonsole_CVD_1_RAL9016;4;4.95;19.8;826.05;172;3.48;1.45;3.17;1.32;20.59;8.58;22;35;405;;;;;;NHL;;;
NHLLH49/07496;900;0.972;972.00;1227;NHLLH49/07;92;496;55;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;1227;456.00;2.86;3.18;5.58;6.20;26.73;29.70;19.00;93.00;1080.00;;;;;;NHLLH;;;
NHL49/14496;1400;0.972;972.00;738;NHL49/14;60;496;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN11397;1300;0.972;972.00;725.4;THN11;60;397;320;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL56/21567;1200;0.973;973.00;752;NHL56/21;60;567;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH56/28567;900;0.973;973.00;1225;NHLH56/28;53;567;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH70/14709;800;0.973;973.00;1354;NHLH70/14;53;709;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH49/07496;1100;0.974;974.00;1193;NHLH49/07;53;496;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
"NHLLH42/07425";1000;0.974;974.00;1174;"NHLLH42/07";92;425;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH56/21567;700;0.974;974.00;1236;NHLLH56/21;92;567;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH77/14780;600;0.974;974.00;1413;NHLLH77/14;92;780;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
N71030-40300;1685;0.974;974.00;1148.68;N71030-40;99;300;0;;;;;;;;;Prolux;;;42;Flachrohrradiator;;;;;;;;;;;;;;;;;;;;;;;;;
WL77/56770;800;0.975;975.00;936.85;WL77/56;61;770;540;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
T 2150/8394;1492;0.975;975.00;886.00;T 2150/8;62;394;0;;;;;;;;;Zehnder;;;;Gliederheizkoerper;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH35/28354;1200;0.976;976.00;1026;NHLH35/28;53;354;265;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;1026;314.00;5.21;4.34;5.30;4.42;31.68;26.40;13.00;70.00;813.00;;;;;;NHLH;;;
NHL42/42425;1200;0.977;977.00;672;NHL42/42;60;425;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL63/56638;900;0.977;977.00;752;NHL63/56;60;638;541;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL84/21851;900;0.977;977.00;854;NHL84/21;60;851;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH98/56993;600;0.977;977.00;1621;NHLH98/56;53;993;541;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN11157;2600;0.977;977.00;655;THN11;60;157;160;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21157;2000;0.977;977.00;1073;THN21;102;157;160;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN91157;2000;0.977;977.00;1024.32;THN91;61;157;160;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL28/21283;1900;0.979;979.00;662;NHL28/21;45;283;195;604.5313571;60;50;21;13;4.6;1.25;11.70;Zehnder;Nova;Standard;0;Heizwand;Stahl;Wandkonsole_CVD_1_Sonderfarbe;4;9.8;39.2;701.2;243;4.01;2.11;3.36;1.77;22.23;11.70;21;44;515;;;;;;NHL;;;
NHLLHL35/21354;800;0.979;979.00;1085;NHLLHL35/21;128;354;195;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;1085;314.00;4.72;5.90;3.54;4.43;24.12;30.15;13;105;1224;;;;;;NHLLHL;;;
THN10397;2200;0.979;979.00;613.73;THN10;53;397;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH21/07212;2000;0.98;980.00;972;NHLH21/07;53;212;55;391.5413396;50;40;21;13;4.6;1.25;13.70;Zehnder;Nova;Kat_1;18;Heizwand;Stahl;Wandkonsole_CVD_0_RAL9016;4;4.25;17;1163.96;172.00;3.00;1.50;5.28;2.64;27.40;13.70;17.00;42.00;490.00;;;;;;NHLH;;;
NHLH84/21851;700;0.98;980.00;1488;NHLH84/21;53;851;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH56/42567;600;0.98;980.00;1209;NHLLH56/42;92;567;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN90317;1800;0.98;980.00;881.78;THN90;61;317;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL28/28283;1800;0.981;981.00;661;NHL28/28;45;283;265;603.4346404;60;50;21;13;4.6;1.26;12.85;Zehnder;Nova;Kat_2;25;Heizwand;Stahl;Wandkonsole_CVD_1_Sonderfarbe;4;9.8;39.2;865.45;243;4.70;2.61;3.19;1.77;23.13;12.85;20;47;545;;;;;;NHL;;;
NHLH56/07567;1000;0.981;981.00;1256;NHLH56/07;53;567;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH77/49780;700;0.981;981.00;1419;NHLH77/49;53;780;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
N71028-40280;1765;0.981;981.00;1181.58;N71028-40;99;280;0;;;;;;;;;Prolux;;;44;Flachrohrradiator;;;;;;;;;;;;;;;;;;;;;;;;;
2W82823;700;0.981;981.00;1262.74;2W82;72;823;0;;;;;;;;;Prolux;;;;Roehrenradiatoren;;;;;;;;;;;;;;;;;;;;;;;;;
NHL56/49569;1000;0.983;983.00;729;NHL56/49;61;569;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH63/42638;800;0.983;983.00;1284;NHLH63/42;53;638;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN22157;1500;0.983;983.00;1004;THN22;102;157;160;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
ZRV32170;1700;;983.00;664;ZRV321;134;70;0;;;;;;;;;Zehnder;;;;Konvektor;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH28/07283;1300;0.985;985.00;1068;NHLLH28/07;92;283;55;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;1068;243.00;2.82;2.17;4.60;3.54;23.49;18.07;18.00;65.00;758.00;;;;;;NHLLH;;;
NHLLH63/14638;700;0.985;985.00;1313;NHLLH63/14;92;638;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH84/35851;500;0.985;985.00;1442;NHLLH84/35;92;851;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN90157;3000;0.985;985.00;762.7;THN90;61;157;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
WL77/14770;1000;0.985;985.00;961.65;WL77/14;61;770;120;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NXHL14/07144;3600;0.986;986.00;813;NXHL14/07;45;144;55;405.6755299;50;40;21;13;4.6;1.21;5.49;Zehnder;Nova Jet;Kat_1;18;Heizwand;Stahl;Wandkonsole_CVD_1_verzinkt;4;3.9;15.6;974.94;104;2.84;0.79;3.17;0.88;19.76;5.49;24;24;274;;;;;;NXHL;;;
NHLLH70/07709;700;0.986;986.00;1389;NHLLH70/07;92;709;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL28/07283;1200;0.989;989.00;1082;NHLLHL28/07;128;283;55;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;1082;243.00;3.11;2.59;4.25;3.54;23.10;19.25;18;71;824;;;;;;NHLLHL;;;
NHLH49/28496;1000;0.989;989.00;1171;NHLH49/28;53;496;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL84/56851;400;0.989;989.00;1516;NHLLHL84/56;128;851;541;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL35/28354;1500;0.99;990.00;662;NHL35/28;60;354;265;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;662;314;5.16;3.44;3.32;2.21;24.36;16.24;21;57;660;;;;;;NHL;;;
NHLH42/28425;1100;0.99;990.00;1105;NHLH42/28;53;425;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21397;1200;0.99;990.00;1268.83;THN21;102;397;160;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL28/07283;2400;0.991;991.00;715;NHL28/07;45;283;55;398.8529319;50;40;21;13;4.6;1.24;9.38;Zehnder;Nova;Kat_1;18;Heizwand;Stahl;Wandkonsole_CVD_1_RAL9016;4;4.95;19.8;863.5;243;2.69;1.12;4.25;1.77;22.51;9.38;27;36;413;;;;;;NHL;;;
NHLH77/56780;700;0.991;991.00;1427;NHLH77/56;53;780;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
