Verketten;Laenge;2_a_Leistung 2 (hyd) [kW];Normleistung;Preis;Typ;Breite;Hoehe;H_Lam;2_a_Leistung 1 (hyd) [kW];2_a_Temperatur 1 [C];2_a_Temperatur 2 [C];2_a_Temperatur 3 [C];Nenndruck bar Extra (%);Nenndruck PN (bar);Exponential;Gewicht leer (kg);3_a_Fabrikat;Modelle;3_c_Farbe 1;Farbe Extra;Ausfuehrung;3_c_Material 1;Zubehoer;Zubehoeranzahl;Zubehoereinzelpreis;Zubehoer_Total_Preis;Total_Preis;N(mm)/1m;A(m2);A(m2)/1m;V(dm3);V(dm3)/1m;M(kg);M(kg)/1m;S_k(%)/1m;q_ms_(kg/h)/1m;Waermeleistung_50K/1m;Charleston_Typ;Stueck;Einzelpreis;Watt_pro_element;Horizontal_Vertikal;Main Typ;Preis mit AB;Nennbauhoehe;Grundpreis
M21001000;500;0.634;634.00;702.24;M2100;65;1000;0;;;;;;;;;Prolux;;;8;Gliederheizkoerper;;;;;;;;;;;;;;;;;;;;;;;;;
NHH98993;400;0.635;635.00;1209;NHH98;53;993;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21157;1300;0.635;635.00;888;THN21;102;157;160;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN91157;1300;0.635;635.00;847.88;THN91;61;157;160;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH28/14283;1000;0.636;636.00;789;NHLH28/14;53;283;125;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;789;243.00;2.34;2.34;3.54;3.54;18.70;18.70;15.00;55.00;636.00;;;;;;NHLH;;;
NHLLH49/49496;400;0.636;636.00;994;NHLLH49/49;92;496;471;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;994;456.00;3.62;9.05;2.48;6.20;17.38;43.45;13.00;137.00;1590.00;;;;;;NHLLH;;;
NXH14144;3400;0.636;636.00;404;NXH14;45;144;0;131.1997702;40;30;21;13;4.6;1.24;4.31;Zehnder;Nova Jet;Kat_2;25;Heizwand;Stahl;Wandkonsole;4;4.95;19.8;524.8;104.00;1.22;0.36;2.99;0.88;14.65;4.31;36.00;16.00;187.00;;;;;;NXH;;;
"NHLLH49/49496";400;0.636;636.00;994;"NHLLH49/49";92;496;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH63/28638;400;0.636;636.00;1114;NHLLH63/28;92;638;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
ZRV32170;1100;;636.00;546;ZRV321;134;70;0;;;;;;;;;Zehnder;;;;Konvektor;;;;;;;;;;;;;;;;;;;;;;;;;
